Candidate,Profile Mean,Profile STDEV,Profile Skew,Profile Kurt,DM Mean,DM STDEV,DM Skew,DM Kurt
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-18-05:34:16.01.fil_sigproc_005.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-18-05:34:16.04.fil_sigproc_028.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-18-05:55:20.01.fil_sigproc_002.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-18-07:59:57.12.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-18-14:50:35.04.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-19-20:12:44.01.fil_sigproc_003.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-20-02:10:56.12.fil_sigproc_016.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-20-05:26:01.01.fil_sigproc_076.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2008-11-20-23:35:24.02.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2009-01-10-03:52:39.07.fil_sigproc_065.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2009-01-10-21:32:22.05.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2009-01-30-11:41:36.08.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-05-19-04:34:02.01.fil_sigproc_031.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-05-19-06:28:00.fil_sigproc_086.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
/Users/rob/Documents/workspace/KnownSourceMatcher/test/phcxs/directory_2/2010-05-20-18:22:27.06.fil_sigproc_001.phcx.gz,36.2,31.2,4.3,25.8,1.9,0.9,1.8,2.7
